page,col,seq,彝文,IPA,直译,意译
49,L,4,九 配 田,kh33 ng33 1033 mD 21 noss,他 也 舒 不 要,他 们 不要舒
49,R,1,,tsh044 4033 qe21 kD33,舒 赶 路 大 贴,驱 舒 至 道 上
49,R,2,与 年 九,tsh133 ni21 kD33 1 ne33,十 二 路 大 也,十 二 大 通 道
49,R,3,万 九 田 配,kh133 ne33 4033,它 也 舒 不 要,大 路 不 要 舒
49,R,4,W M 不 分,phu33 lurss p133 ZD1 1133,勒 普 毕 绕 来,勒 普 毕 绕 啊
50,L,1,弯 日,4033 qe31 ab h33 1033 b121,舒 赶 哪 里 给,驱 舒 归 何 方
50,L,2,Z 具 飞,si33 si33 A33 dze31 V33,施 斯 阿 简 娓,施 斯 阿 简 娓
50,L,3,必 飞,b121 4033 ge31 nu33,舒 赶 你 家 给,驱 舒 归 你 家
50,L,4,Z4 弯,"nu33 V33 4033 tsess 1,33",你 家 舒 接 来,舒 你 家来接
50,R,1,Z4 弯 2,"nu33 4033 tsess 1,33 V33",你 家 舒 接 来,你 家 来 接 接舒
50,R,2,分 女 Z 省山,33 du3 niss thD21 44 yD pu,后 处 前 不 反,舒 莫 反 转 身
50,R,3,Z 电,duss mu33 fusthD2i dur3,耕 做 耕 不 误,耕 田 不 误 工
51,L,1,G,4u55 mu33 duss 133 Z033,耕做耕来要,耕田庄禾壮
54,L,1,进早餐,ne² p²p² tshi21 21 h21 ZD tsDSs,儿 好父早饭 喂,孝子喂早饭
54,L,2,承丑岁茶,pD21 ne tshi21 h33 2.U33,父好早饭 拿 来,亡父来取饭?
54,L,3,亡父来取饭?,tshi21tshw33t tsD 55 th21t4u33,早饭晚饭 喂 顿 一,吃早晚饭 时
54,R,1,55 tsD,tsi33 055 tsi33 th2. pe33,酒 头 酒 一 瓶,头 一 瓶酒 中
54,R,2,WI 茶,tsp33 OS tsp33 th121,饭头 饭 觀,头．一 甄 饭 中
55,L,1,光 世 专,G133 si33 si33 kho21 nu33,柯 兴 诗 斯 奴,柯 兴 诗 斯 奴
55,L,2,田 面,mp dzD?1 tsp33 tch21,不 吃 饭 三 口,不 吃 那 三
55,L,3,3=,dZD? kuss 33 nu tsi33 tsi33,吃 会 你 真 真,你 真 会 吃 否
55,L,4,田 面 同,tsi33 mp 21 tsiss ms 33 mw 33,不 喝 酒 三 口,喝 那 不 三 口
55,R,1,,ZZZ Z 3=,tsiss kur's nu33 tsi33 15i33,喝 会 你 真 真
55,R,2,ZZZ Z 3=,tsiss kur's nu33 tsi33 15i33,喝 会 你 真 真,你 真 会 喝 否
55,R,3,#飞,dzp²1 kuss ab h33 tsi33,吃 会 你 若 真,真 你 若 会 吃
55,R,4,ZZZ 飞 国,tsiss kur's h33 33 Eenu ab 3G,喝 会 若 是 你,你 若 真 会 喝
55,R,5,九 年,33 33 qe 55 qhD33 dzp21 ob ne,内亲 与 外戚 跟 吃,与 亲 戚 同 吃
55,R,6,九 世 年,vi31. ne 33 ne 33 ab h33 tsiss,兄弟 与 姊妹 跟 喝,与 兄 妹 同 喝
56,L,1,7:九,fu33 h33 dzD21 me21 ab,妻 与 夫 跟 吃,妻 与 夫 跟 吃
56,L,2,46 九 年 ZZZ,qD33 yu3 ne33 SD 55 tsiss,舅 与 婿 跟 喝,舅 与 婿 同 喝
56,L,3,承九 分 年 7,"p""D hn21 3U 33 ZD 21 kD33 dZD21",父 与 儿 跟 吃,父 与 儿 同 吃
56,L,4,年,pD21 33 nw 33 kD33 ne,父 与 女 跟 喝,父 与 女 同 喝
56,L,5,7,"1,33 1,33 dZD21 Si33 dzD21",吃 来 亡魂 吃 来,来 吃 吧 亡 魂
56,R,1,,ZZZ 2,"tsiss 133 1,33 tsiss",喝 来 亡魂 喝 来
56,R,2,而零至 日 列,qhu21 nDSs tsho33 4e33 1033,阴 人 山林 处 声,阴 魂 山 林 喧
56,R,3,世 四,tsoss 1D33 vess 1D33 xzp,唱 又 吵 又 哗,又 叫 又 歌 唱
56,R,4,Y 介 分 飞,mi33 21 du2i nu33 ZD² nur3,阳 地 你 儿 女,阳 间你 儿女
57,L,1,灶 司 举,si44 du²1 1e33 t$033 1D33,袖 口 转 了 抹,衣 袖 抹 泪 水
57,L,2,# 日 π,dzi21 ts133 1033,丧 食 边 际 处,丧 食 席 周 边
57,L,3,丧 食 席 周 边,Zm ZI 3=,ob 33 qe 55 ve 44 ni21 n1²1,内亲 外戚 喧 哗 哗
57,L,4,Z出 W m 7,liss phi21 nu3 SSOs 12nb,你 得到 材棺 四 块,你 获棺 四 板
57,R,1,O 民 世 住,4D33 bp 33 55 $O tsi33,月 亮 硕 欣 棵,月 亮 硕 欣 木
57,R,2,世 田 国,33 $0$s G133 mp 21 3G ng33,硕 欣 不 是 也,虽 非 硕 欣 木
57,R,3,与 X,"tsh,33 ni2i pu 33 bp² tce3 h33",十 二 山 坡 上,十 二 山 坡 上
57,R,4,松 木 手 围 粗,7 W tQ,si44 SSOs nb he33,嗑松 树 你 棺 房
57,R,5,7 W tQ,si44 SSOs nb he33,嗑松 树 你 棺 房,嗑棺制 你 棺
58,L,1,K Z,si44 ne21 fess do21. do44,树 良 崖 台 出,良 木 取 崖 台
58,L,2,Z U,ssnp 55 h33 mp 33 np ab,稼 稿 阴 粮 食 一,收 获 N 粮 食
58,L,3,收 获 N 粮 食,q²D33 qhD33 :44 1031 4u33 ni,粮 白 粮 红 成,成白 粮 红 粮
58,R,1,丑光,55 ab h33 33 np m133 ne,若 是 阴 地 良,若 是 阴 佳 粮
58,R,2,丑 W tQ,$0SS ne 21 nu? qu21 he33,嗑松 佳 你 棺 房,松 你 棺 材 木
58,R,3,雨,55 tsh;33 tp²1 np m133 nu33,阴 地 你 到 时,你 至 阴 间 日
58,R,4,万 Z tQ,kh133 zi33 he33 33 nu33 ne,它 呢 你 房 是,它是 你房 屋
59,L,1,电 tQ 日,55 tu33 he33 1033 aG nu33,阴 地 你 房 处,阴 间 你 房 处
59,L,2,金 子 垫 柱 脚,"hep p""u33 dzi2 np 33 1p21",房 盖 铜 瓦 片,铜 瓦 盖 屋 顶
59,L,3,77 3,dzi21 :44 do44 Z1,铜 影 金 影 出,金 铜 明 晃 晃
59,L,4,A 科 tQ 飞E,de21 33 bp21 4u33 he33 qD,银 打 房 门 面,银 子做 门 面
59,R,1,to,de21 he33 ab tshi33,金 打 房 门 槛,金 子 做 门 槛
59,R,2,7 日,b121 me 44 nu33 1033,富丽 佳 你 处 给,富 丽 奉 与你
60,L,1,Z4 命 日,nu 33 np 55 1033 tsh:33 thp21,你 阴 处 到 时,你 至 阴 间 日
60,L,2,亏,nu33 ni33 fess ne2i nu33,你 居 你 名 盛,你 居 你声 香
60,L,3,子 # 国,tsiss dlp33 mu² tsu 3G 33,露 降 天黄 昏,露 降天黄 昏
60,R,1,,thp²1 dlp33 pu33,013 霜 降 鸡 鸣 时,霜 降 鸡 鸣 更
60,R,2,7世 专,kho21 si33 nu33,柯 兴 诗 斯 奴,柯 兴 诗 斯 奴
60,R,3,WI,th12i thp21 tshi33 hi33 zi33,一 时 到 来 呢,另 一 时 刻 到
60,R,4,另 一 时 刻 到,tshi21 dzo²1 thp²1 tsh;33 tsD33,早饭 食 吃 时 到,该 早 饭 了 吃
60,R,5,Z册 公会 #,siss phe31 tsi's phu33 tD33,草 叶 露 朵 起,起露珠 草 叶起
61,L,1,,si33 tshi21 tD33 tsp dzD,死者 起 早饭 食 吃,亡 者 吃 早 饭
61,L,2,星雨 效,p²u² thp² A21 tsh;33 De3,到 祖 时 现 在,到 现 下 N 时
61,R,1,田,"mp 21 Z.044 tsho33 tso"" 3G 55",不 生人 有 是,未 者 只 有 生
61,R,2,WI 子,th121 du²1 mu²1 s33 dur33,一 黑 天 三 更,夜 天 三 更 一
61,R,3,目,"1D33 p""T h.33 t$o? 033 mb 33",你 世 在 了 完,你 世 已 过 完
62,L,1,田不子 ZZ,dzi21 mp²1 mu²1 m133 h1²1,不 幸 天 地 选,不 幸 天 地 选
62,L,2,不 幸 天 地 选,si33 nu33 nu33 me 33,你 死 你 吊 丧,你 你 死 吊 丧
62,L,3,你 你 死 吊 丧,nu 33 nu33 nu 33 1e88,你 女 家 你 儿,身 后 N 儿 女
62,L,4,学,si33 tshi21 th121 t4ur tsDss,死者 早饭 喂 一 顿,喂 死 者 早 饭
62,R,1,發 WI学,tshi21 55 133 th121 tsD t4u33,早饭 食 这 一 顿,这 一 顿 早 饭
62,R,2,Z 3,tho21 ne 地 niss,青松 黄 吃 鸟 嘴,小 松 雀 啄 黄
62,R,3,具 tQ 日,A33 dze 1033 nu33 he33,丧 家 你 房 处,丧 家 你 房 处
63,L,1,包 7 U,niss du33 tsD33 mp 33 33 ne,娘 家 粮 食 好吃,娘 家 粮 食 香
63,L,2,田 7 面 Z,tch21 mp dzD21,不 吃 饭 三 嘴,专 留 三 嘴 饭
63,L,3,7 7 2,"dzp21 1,33 si33 dzp²1 lh33",吃 来 死者 吃 来,吧 死 者 来 吃
63,L,4,2ZZ 子,"1h33 1,33 tsiss tsiss",喝 来 死者 喝 来,死 者 来 喝 吧
63,R,1,面 四,"z,i33 tce33 1p21 si21 sur's",水 清 茶 三 颗,清 水 三 撮 茶
63,R,2,清 水 三 撮 茶,2ZZ ZZZ,h33 ID²1 1h33 tsiss tsiss,喝 来 茶 喝 来
63,R,3,2ZZ ZZZ,h33 ID²1 1h33 tsiss tsiss,喝 来 茶 喝 来,起 来 喝 茶 吧
63,R,4,子 發 WI,kD33 133 th121 tSD33,死 路 这 一 条,路 死 亡 这 条
64,L,1,九 田 里,ZOs ne33 Za's mp 21 D133,让 也 让 不 掉,避 让 开 避 不
64,L,2,π 九 田 口,dzi21 lu33 ne33 mD21,官 也 死 不 愿,帝 臣 虽 不 愿
64,R,1,半 九 田 口,mu 55 33 si33 21 lu33 ne mp,将 也 死 不 愿,将 虽 不 愿 死
64,R,2,π 田 IU 必,si33 th33 dzi21 mD²1 905s,官 死 不 太 甘,官 不 甘 死 心
64,R,3,IM 必 半 田,mu 55 si33 mp 21 th33 905,将 死 不 太 甘,将 死 心 不 甘
64,R,4,不 九 田 口,si33 21 lu33 p133 ng33 mp,毕摩 也 死 不 愿,毕 死 不 情 愿
64,R,5,不 田 必,si33 th33 mp21 qoSs,D13 毕摩 死 不 太 甘,毕 死 心 不 廿
65,L,1,Z4 九 田 口,ne 33 si33 nu33 mp21 lu33,你 也 死 不 愿,你 亦 不 愿 死
65,L,2,7严,"1,33 si33 dzp h33 9055",甘 来 死者 吃 来,甘 心 来 吃 吧
65,L,3,Z出 2 720 田,bu²1 nu33 mp 21 dzD21,你 只 独 不 有,并 非 你 独 死
65,R,1,光 世 专 Z4,kho21 si33 Eelg nu33,柯 兴 诗 斯 奴,柯 兴 诗 斯 奴
65,R,2,目 田,ob md 44 t$o mp 21,回 返 在 不 真,不 会 再 回 生
67,L,1,电北电田发,dur²1 dad dur²1 mu,断正不 做,裁布不为 别
67,L,2,电北,"le33 h33 dur²1 da44 lD21 p""D",断 牛 脖布,裁作牛脖绳
67,L,3,裁作牛脖绳,1p21 qe31 te33 yo31 dlu33,牛 赶云 际 人,赶牛人云 山
67,R,1,四麦,te33 q031 te33 t$033 t$033,云 还 云 处转,牛在云中转
67,R,2,IU 子 C WI 子,th21 si33 th121 1D33,一 样 啊 一 样,事 有 序 一 一
67,R,3,命 九,th21 si33 $033 ni44 ne33,一 样诵 想 也,心 存诵 一 经
68,L,1,7 70 -二 田7=,"si44 tshi21 21h.33 9033 m,b.,au",木 腐 雷 不搭,腐 柴 不 堆 里
68,L,2,? 70 又 3=,tshi21 1033 ob 33 tDss tDss,石 腐 里 搁 搁,旧 石 中 里② 置
68,R,1,,133 mu33tche4 tDss,亡者 来 做 村 搁,亡 者 停 村 中
68,R,2,?,dlD21 10 4 tsh;33 bu33,蜂 聚 石 脚 拢,群 蜂 聚 岩 壁
68,R,3,子 企,tshi21 su 33 mu²1 121 m133,户 夜 天 今 晚,今 值奠 吊 夜
68,R,4,口,te33 pe31 dze44 le31 1033,屋檐 滴 手 处,排 雨 屋 檐 下
68,R,5,A 3=,"tsD33 4u33 tsp""",饭 冏白 饭 尖 尖,白饭 堆 觀 尖
69,L,1,封3,ni33 dl1y31 OPO,蹲 坐 蹲利落利落,丧客 蹲人席
69,L,2,开 700 开 3=,si21 be44 be44 de21 de21,说 七 说 款 款,话题杂 七 八
69,L,3,D 3=,SD²1 tche3dzu33 no21 no²1,美文 线齐 整 整,经书 摆 端 齐
69,L,4,Dz2 北7,"ni21 hn33 le31 p""D da44 dzp",彝手 布 裁 不齐,彝人扯布斜
69,R,1,,le31 bu²1 ecmqDp,汉 手绸 断截,汉 人裁绸齐
69,R,2,田 # 田#发,mu3 mp 21 ts133 mp² ts133 33,不 剩 不 剩 做,心 想莫 剩 遗
69,R,3,WI 17开 #,"ts""u 55 th121 dz,i21 33 a ts133",晚饭 喂 一 章 剩,遗 喂 饭 一 章
69,R,4,分 7,33 tsi33 to55 yD ZO 44 mp 33,夺 敖若 知 玛,夺 敖若知 玛③
70,L,1,科每住万,124 me 44 tsi33 kh133,美 的 缔 那 时,缔 结 婚 姻 时
70,L,2,九 Az,q021 nu3 ne33 mu33,你 也 顺 播 做,你 亦 去 播 香种
70,L,3,Z: 九 3 Z 每,si33 33 33 ne SD duss,别人 也 舒 耕 做,别 人 耕 耘 时
70,R,1,Z 无7开0每,si33 ne3 t tshi33 tshi21 mu33,别人 也婚 做,别 人男 媳
70,R,2,九70,ne tsh21 nu33 tsh;33 mu 33,你 也女 婚 做,你 亦 男 媳
70,R,3,Z 每,si33 ne 33 tsiss mu3 nur's,别人 也 女 嫁 做,别 人 女 出 嫁
71,L,1,勿 Z,kuss dzi1 nD3 si33,格 资 病 神 申放,疫 格 资 投 病
71,L,2,子 Z Z社 口,si33 nu33 1033 $OSS,死 神 你 处 获,死 神 落 你 身
71,L,3,死 神 落 你 身,W Z 3 to 日,luuss V133 $i33 he33 1033,勒 娓 诗 罕 处
71,L,4,W Z 3 to 日,luuss V133 $i33 he33 1033,勒 娓 诗 罕 处,勒 娓 诗 罕 处
71,L,5,勒 娓 诗 罕 处,"tch33 ze 31 nu33 tD,ss",奠 吊 你 请 搁,你聚奠吊客
71,R,1,# 子,33 tsiss dlp33 mu²1 tsu e,露 降 天光 斜,露 降 黄昏 时
71,R,2,雨,tp21 0133 dlp33 4 pu33,霜 降 鸡 蹄 时,鸡 霜 时 降
71,R,3,7 7:,mess thb21 A21 A21 mess,自 己 时 自 己,各 物 有 各 时
71,R,4,效 闲,"133 thD²lt ts""ur thD21 tSD",这 时 晚饭 喂 时,现 下 喂 饭 时
71,R,5,目,"0.55 tsh;33 ts""u h.33 33",晚饭 转 亡者 头 到,饭 至 亡者头
72,L,1,民 田,si33 055 21 bp33 mD lur33,亡者 头 光 不 亮,亡 者 头 无 光
72,L,2,目 子,tsu33 15033 $i33 dz.031 tsh:33,晚饭 转 亡者 腰 到,腰 饭 至 亡 者
72,L,3,子 田,"dz.031 th,33 mp 133",亡者 动 腰 际 不,亡 者 腰 不 动
72,L,4,目 子 7:,ID33 tsh;33 t$033 mg33,转 了 亡者 尾 到,转 至 亡 者 脚
72,R,1,田 G,"kh,33 nu33 go 44 mp 21 2033",你 它 怕 不 要,你 不 怕 要 它
72,R,2,众 分,dz1 33 21 qe44 33 1e84 ZD nb,额 津 绕 凯 我,额 津 绕 凯 我
72,R,3,分 与,qhe44 21 ni21 dzi21 ZD21 np,儿 强 我们 二 位,强 者 我 们 俩
73,L,1,G 不,pD33 S121 DD²1 mu 33 ZOSS,我们 脱 做 要 还,需 要 脱 身 邪
73,L,2,台 口 ?,"q044 0.55 1033 10.44 p""D h33",头 处 帽 子 脱,头 上 脱 帽 邪
73,L,3,光 面,tsh;33 1i44 bu31 dy31 enu,缎 穿 脚 你 跨,穿 缎 鞋 迈 脚
73,L,4,女z 子 焱,du21 nu 33 mu² 4y55,袜 穿 你 天 晒,穿袜 你 炫 耀
73,R,1,飞 口,p²D33 pD33 yo 31 1033,我们 脱 身 处 脱,脱 我 身 上 邪
73,R,2,乱 日,33 phD3 le31 1033 p²p33 np,我们 脱 手 处 脱,脱 邪 至 手 上
73,R,3,日 2 46,"33 h33 le31 1033 lu21 YD p""D",手 处 重 骨 脱,手 臂 臂 骨 邪
74,L,1,每日 光 区,"dz.031 1033 re&p m121 p""D h33",腰 处 佩 刀 脱,脱 去 佩 邪 刀
74,L,2,OX 日,"33 p""D h33 tsiss 1033 p""p h33 np",我们 脱 关节 处 脱,脱 邪 至 关 节
74,L,3,oX 日,tsis 1033 bp21 44 pD33 $06,关节 处 脸 花 脱,脱 花 脸 邪 牲
74,L,4,日,"h33 tsh33 h33 np 21 p""b"" 1033 p""D",我们 脱 脚 处 脱,脱 邪 至 脚 板
74,L,5,N. Z4 日,tshi33 1033 du²1 ny4 phD33,脚 处 袜 鞋 脱,脱去 圭邪 袜 鞋
74,R,1,&3=,du21 adxu 44 h33 mb 33 mb 33,袜 鞋 脱 完 完,袜 鞋 邪 脱 尽
74,R,2,众 勿 飞④,yy31 rzp ZD 21 qhe44 np 33,额 津 绕 凯 我,额 津 绕 凯 我
74,R,3,与 π,qhe44 21 ni²1 dzi31 nD,儿 强 我们 二 人,强 毕 摩 我 俩
75,L,1,WI 众,th121 tsh044 tsD33 4833,条 伸 林 着,条 缠 树 木 一
75,L,2,飞 特 Z 全,niss ni21 xw ms 21 $D 33,二 次 尼 爪 找,二 次 找 尼 爪
75,L,3,Z 分 米 分,np 55 1pss be21 ZD21,尼 儿 虎 儿 斗,尼 与 老 虎 斗
75,L,4,Z,niss bg21 si33 dze4 dze44,尼 斗 血 滴 滴,血滴 滴 尼 斗
75,R,1,Z 九,ni1 th21 33 xur²1 zu ne33,二 次 一 捉 也,二 次 捉 一 只
75,R,2,分 WI 茶 每,qhe33 th21 2u3 mu33,儿 强 一 捉 做,毕 摩 捉 一 只
75,R,3,IM 签 众,th21 pu3 tsh044 t$D33 dzi21,一 条 伸 山着,一 条 爬 山 坡
75,R,4,面 全,ni21 siss ms 21 as 33,二 次 野鸡 爪 找,找 鸡 爪 二 野
76,L,1,面,21 qe44 ZD tless ms SD 33,儿 强 鹰 爪 找,毕 爪 摩 找 鹰
76,L,2,分,si55 t4ess ZD21 be21 ZD21,野鸡 儿 鹰 儿 斗,野 鸡 与 鹰 斗
76,L,3,勾 3=,siss be2i no 44 bg33 be33,野鸡 卡 毛 吡 此,野 鸡 毛 零 乱
76,L,4,荟 面 Az 3=,tless be21 s 21,鹰 斗 爪 全 全,鹰 斗 无 损 爪
76,L,5,与 与 九,ni21 mx ni²1 Zu33 ne33,二 次 二 捉 也,二 次 捉 二 只
76,R,1,与 茶,qe44 ZD 21 ni21 21,儿 强 二 捉 大,毕 摩 捉 只 二
76,R,2,益开,th21 dzi21 xu44 tsh044 tsD33,一 条 跳 湖 着,条 伸 进 湖
76,R,3,分,ZD21 qe44 ms su 21,儿 强 獭 爪 找,毕 摩 找 獭 爪
77,L,1,分 分,ho33 ZD21 ms 33 ZD21 be21,霍 儿 獭 儿 斗,霍 与 水 獭 斗
77,L,2,Z,ho33 be21 si55 dze4 dze44,霍 斗 血 滴滴,霍 斗 血 淋 淋
77,L,3,刀,ms be21 z.133 the44 pu33,獭 斗 水 上 浮,獭 斗 水 上 浮
77,L,4,与 不 九,ni21 33 ms SD ne,二 次 爪 找 也,二 次 找 利 爪
77,L,5,分 面 茶,ZD21 qe44 ms 21 Zu 33 33,儿 强 爪 拿 大,毕 摩 之 爪 利
77,R,1,与,ni21 qhD33 qe44 xu²1 qD33,二 次 怎 怎 强,对 手 再 强 大
77,R,2,与 不乘刀开,ni21 xu²1 ku33 the4 dzi21,着 二 次 身际,二 次 伤它 身
77,R,3,众 飞④,q²e44 33 y821 ZD np,额 津 绕 凯 我,额 津 绕 凯 我
77,R,4,7开 住 N 品,"Ve21 le31 dz,i21 tsi33 the31",左 手 铜 锣 拾,左 手抬 铜 锣
78,L,1,号 74,V133 ZD 33 le31 de21 pu33,右 手 打 捧 拿,右 手 举 锣 槌
78,L,2,住 不 开 7科 与,tsi33 de2i ni21 mx dzj2,锣 打 二 次 奉,二 次 敲 锣 奉
78,L,3,3= 与 不开,"dy31 ni²1 xu²1 dz,i21",咚 咚 二 次 奉,咚 咚 锣 声 奉
78,L,4,A,"h33 zD""p""D” 33 ZD 33 1033 do21",左 逃 左 处 掉,左 邪 逃 左 方
78,L,5,号 号 日,Ve21 phD33 Ve21 1033 XD33,右 逃 右 处 掉,方 右 邪 逃 右
78,R,1,与 不开,ni21 mx dzi21 qw 33 SD21,二 次 奉 完 了,奉 完 二 次 锣
78,R,2,民 九,si33 055 bD3 3u 33 lur33,死 头 亮 也 明,亡 者头 明 亮
78,R,3,九 2,si33 dz.031 th33 133 ng33,死 腰 际 也 来,亡 者 腰 板 直
78,R,4,7: 九 ：,si33 tche1 33 mess ne33,死 尾 也 线 顺,亡 者 尾 毛 顺
78,R,5,年 岁年,"kD33 1,33 ts""w”” kD33 1h33",参 来 晚饭 参 来,晚餐席 来 人
79,L,1,年,kD33 lr33 tsiss kD33 1y33,参 来 碰 参 来,人 席 与 众 聚
79,L,2,人 席 与 众 聚,nu33 le31 tsD 33 sw 55 tch121,女 手 饭 三 口,女 捧 三 口 饭
79,L,3,4,33 hp33 1o21 SOs mp,郝 罗 硕 因 玛,郝 罗 硕 因 玛 ⑧
79,R,1,田 配,mp 21 noss sur's tch21 dzD,不 要 三 口 吃,不 要 吃 三 口
79,R,2,公会 面,"ms 55 tch21 q""D” h33 dzD 21",三 口 若 吃 起,若 吃 下 三 口
79,R,3,面,55 m133 tsD33 su's bo21 aG,阴 间 粮 三 囤,阴 间 粮 三 囤
79,R,4,正 日,m13tch33 t du²1 tce 1033,阳 间 那 坪 处,阳 间 办 丧 处
79,R,5,系 A %,ze 44 phu3tchi31 np 55 XD21,鸡 公 山羊 公 肉,肉 肉 鸡 山黃 羊
80,R,1,分 WI Z,21 th21 si5s ZD le31 tsi33,儿 手 酒 一 碗,儿 端 碗 酒 一
80,R,2,九 同 ZZZ,ne 33 ms 33 mu 33 tsiss Joss,要 也 三 喝 口,要 也 喝 三 口
80,R,3,田 面 同,21 33 33 tsiss mp Dos sw mu,不 要 三 口 喝,不 要 喝 三 口
80,R,4,同券 2ZZ,33h33 ms 33 mu a.b tsiss,三 口 若 喝 起,若 喝 下 三 口
81,L,1,如 今罗田,"du2i 33 h33 21 mi ts""wr"" mp pu33",阳 间 晚饭 不 奉,阳 间 不 奉 饭
81,L,2,田,"aG 55 mi ts""ur mp 21 SOS",阴 间 晚饭 不 获,阴 餐 间 无 晚
81,L,3,众 勿,"dz133 ZD 21 q""e"" h55 33 nD",额 津 绕 凯 我,额 津 绕 凯 我
81,L,4,女 Z,du21 tshu33 th121 siss mi,阳 间 晚饭 一 碗,阳 间 一 晚 饭
81,L,5,日,33 pu33 np $03 nu33 1033,我 诵 你 处 奉,诵 经 奉 与你
81,R,1,与 3=,44 33 1o21 nj33 ne t$o 1021,两 眼 转 盈 盈,两 眼 转 灵 灵
81,R,2,女,tshu33 du33 ne 44 133 te33,晚饭 处 眼 来 快,快 饭 来 看 晚
81,R,3,岁 女 住,tshu33 du33 tsi3 1n33 33 tce,晚饭 根 迎 来 快,快 来 接 晚 饭
81,R,4,与 飞= 3=,ni²1 tsh;33 tho31 m6 21 m6 21,二 脚 迈 急 急,双 腿 急 急 迈
82,L,1,住,tshu33 du33 tsi33 h3 tce33,晚饭 根 遇 来 快,快 来 接 晚 饭
82,L,2,电 fz,hp33 1o21 $0$s mp 33,郝 罗 硕 因 玛,郝 罗 硕 因 玛
82,L,3,子 Z 雨,mu²1 A21 siss kh33 thpi,天 过 去 那 时,从 前 之 时 代
82,L,4,九4九,ku²3tsh33ku*s phu33 2i33,九十九 祖 呢,九 十 九 代 祖
82,R,1,ZZ,he31 tsh33 he31 ph121 2i33,八十八 祖奶 呢,八 十八 祖 奶
82,R,2,出,si33 nu33 ph1²ltsu h.21 SOS,你 祖奶 晚饭 获 死,祖 奶 获 饭 死
82,R,3,700 工 200,si21 ts133 si21 p²p21,七 十 七 父 呢,七 十七 父 辈
82,R,4,五4五,tsh33 zi33 55 mp 33,五 十 五 母 呢,五十五 母
83,L,1,子,tsu? nu 33 $OSS,你 母 晚饭 获 死,母 获 晚 饭 死
83,L,2,必罗册,nu33 vi31 tshu² 33 si33 $0SS,你 弟兄晚饭 获 死,弟兄获 饭 死
83,L,3,WI Z47L 日,th121 tsh33th21 tshi31 1033,一 十 一 世 处,十 生 世 一 一
83,L,4,万 九,kh33 ng33 nu3 33 zi33 tsh;33,它 也 你 世 到,到了你 之世
83,R,1,Z4,zi33 nu33 zi33 tsh:33 1a33,你 世 到 来 呢,你 N 世 到 来
83,R,2,九罗册,"nu33 ne"""" 33 ts""u h33 $O 55",你 也 晚饭 获 死,亦 获 晚 饭 死
83,R,3,住 7,tsu33 ne21 tsi33 qur 33 du33,晚饭 佳 碰 完 后,获 得 晚 饭 后
83,R,4,获 得 晚 饭 后,"h33 33 33 h33 33 p""D"" z1 si"" p""D",离去 死 离 去,亡 者 快 离 去
83,R,5,去 子开学,ne33 mu21 th121 dzi tlu,春 天 — 奉落,春天 已 近 尾
84,L,1,开学m,th121 dzi²lt4u²133dzu,一 奉落来呢,季序将轮换
85,L,1,诵经刚开始,188 dz133 A33 dze31 V133,额津 阿节尾,额津阿节尾
85,L,2,额津阿节尾,A33 dze31 tsi33 dz133 33 qo,节院坝 阿 里,阿节院坝 里
85,R,1,33 tp 55,te3phe31 dze44 1e31 ku3,屋檐滴手 里,排雨屋檐下
85,R,2,排雨屋檐下,kho21 G133 si33 th121 Z04,柯兴诗 一： 人,柯兴诗 人
85,R,3,17四万分又,me 33 Ze31 kh33 tDss D3,奠吊那 里 搁,设其奠吊坛
86,L,1,3 3,siss 8i33 SD21,书 文 文 美 诵,诵 经 典美 文
86,L,2,全,33 tso21 33 ID33 133 $O SD,诵 伴 找 了 来,找 来 诵 经 伴
86,L,3,金 口 飞④ 田 每,33 lu33 21 21 $0 np mp mu33,诵 愿 我们 不 做,愿诵 非我 俩
86,R,1,口,"lu33 si33 1,33 3G 33",诵 愿 死 来 是,愿 诵 是 死 者
86,R,2,金 与,$033 tsho21 ni21 204,诵 伴 我们 两 人,诵 经 伴 我 俩
86,R,3,众 具,d2133 A33 dze 18,额 津 尾 阿 节,额 津 阿 节 尾
86,R,4,田 田,kur's zi33 mp 21 mD21 Cie31,不 会 呢 不 嫌,不女 嫌我俩笨
87,L,1,田 飞2 去,di²1 mp kur's tsi33 ne33,不 会 的 真 也,信 我 俩 不 会
87,L,2,田 去 田,mp 21 di21 mD 21 tsi33 SOs,不 知 的 不 真,不 信 全 无 知
87,L,3,田 飞万 田圣,ku*kh33 mp² khb21 mp21,不 会 他 不 效,推 不 会 无 效
87,L,4,π 3=,khp21 dzi21 dzi21 do44 133,硬 硬 出 来 效,非 来才行 得
87,R,1,田 去 Z4,mp 21 do44 133 di21 du21,不 出 来 的 想,心 想 不 过 来
87,R,2,田 金 去 7,mp 21 di21 du21 zi33 $033,不 诵 的 想 呢,心 想 不 诵 经
87,R,3,田 国,21 h33 33 1D33 mp $033 ab 3G,不 诵 若 是 啊,假 若 不 诵 经
87,R,4,专 开 田,dzi21 mp 21 $OSs,死 主 奉献 不 获,死 者 不 获 奉
88,L,1,众 具 飞 效,d2133 A33 dze31 V3,额 津 阿 节 尾,额 津 阿 节 尾
88,L,2,专 田,t$033 si33 ob 55 mb 33,生 主 如愿 不 完,生 者 不 称 意
